BRCD,DESC
0,Back Office
10,Bydgoszcz (10)
20,Oddział Bydgoszcz (20)
30,Oddział Płock (30)
40,Oddział Olsztyn (40)
50,Oddział Toruń (50)
60,Oddział Grudziądz (60)
70,Regionalny Katowice (70)
71,Regionalny Warszawa - PZ3 - 71
72,Regionalny Bydgoszcz 72
73,Regionalny Gdańsk - PZ3 - 73
74,Regionalny Katowice 74
75,Regionalny Kraków - PZ3 - 75
76,Regionalny Łódź 76
77,Regionalny Poznań - PZ3 - 77
78,Regionalny Rzeszów - PZ3 -78
79,Regionalny Wrocław - PZ3 - 79
80,Oddział Katowice (80)
90,Oddział Bielsko-Biała (90)
100,Oddział Rybnik (100)
110,Oddział Sosnowiec (110)
120,Oddział Bytom (120)
130,Oddział Częstochowa (130)
140,Oddział Dąbrowa Górnicza (140)
150,Oddział Gliwice (150)
160,Oddział Tychy (160)
170,Oddział Katowice (170)
180,Oddział Katowice (180)
190,Oddział Chorzów (190)
200,Oddział Oświęcim (200)
210,Oddział Racibórz (210)
220,Oddział Rybnik (220)
230,Oddział Zabrze (230)
240,Oddział Katowice (240)
250,Oddział Regionalny Gdańsk (250)
260,Oddział Koszalin (260)
270,Oddział Gdańsk (270)
280,Oddział Słupsk (280)
290,Oddział Szczecin (290)
300,Oddział Elbląg (300)
310,Oddział Gdynia (310)
320,Oddział Gdańsk (320)
330,Oddział Gdańsk (330)
340,Oddział Gdańsk (340)
350,Oddział Gdynia (350)
360,Oddział Kołobrzeg (360)
370,Oddział Szczecinek (370)
380,Oddział Słupsk (380)
390,Oddział Szczecin (390)
400,Oddział Stargard Szcz. (400)
410,Punkt kasowy Szczecin(410)
420,Oddział Regionalny Kraków (420)
421,Kredyty Bydgoskie w Krakowie
422,Kredyty Krakowskie w Poznaniu
423,Kredyty IK- Rzeszów
424,Kredyty IK- Wrocław
425,Kredyty IK- Łódź
426,Kredyty IK- Katowice
427,Kredyty IK- Warszawa
428,Kredyty IK- Poznań
429,Kredyty IK- Koszalin
430,Oddział Kraków (430)
440,Oddział Kielce (440)
450,Oddział Radom (450)
460,Oddział Nowy Sącz (460)
470,Oddział Tarnów (470)
480,Oddział Kraków (480)
490,Oddział Kraków (490)
500,Oddział Kraków (500)
510,Oddział Kraków (510)
520,Oddział Ostrowiec Świętokrzyski (520)
530,Oddział Skarżysko-Kamienna (530)
540,Oddział Łódź (540)
550,Oddział Łódź (550)
560,Oddział Piotrków Trybunalski (560)
570,Oddział Łódź (570)
580,Oddział Łódź (580)
590,Oddział Łódź (590)
600,Oddział Łódź (600)
610,Oddział Łódź (610)
620,Oddział Łódź (620)
630,Oddział Kutno (630)
640,Oddział Pabianice (640)
650,Oddział Bełchatów (650)
660,Oddział Tomaszów Mazowiecki (660)
670,Poznań (670
680,Oddział Poznań (680)
690,Oddział Gorzów Wielkopolski (690)
700,Oddział Ostrów Wielkopolski (700)
710,Oddział Piła (710)
720,Oddział Zielona Góra (720)
730,Oddział Kalisz (730)
740,Oddział Konin (740)
750,Oddział Leszno (750)
760,Oddział Poznań (760)
770,Oddział Poznań (770)
780,Oddział Sieradz (780)
790,Oddział Krotoszyn (790)
800,Oddział Zgorzelec (800)
