KEY,NAME
AAAARSBG,KBC BANKA AD
AAACKWKW,ALMUZAINI EXCHANGE COMPANY KSC CLO
AAADFRP1,ASSET ALLOCATION ADVISORS SA
AAAGFRP1,ASSOCIATION ADMINISTRATIVE AGRR
AAALSARI,SAUDI HOLLANDI BANK
AAALSARIRYD,SAUDI HOLLANDI BANK
AAAMFRP1,ALLIANZ ALTERNATIVE ASSET MANAGEMEN
AAASTHB1,ASIA PLUS SECURITIES PUBLIC COMPANY
AABAFI22,BANK OF ALAND PLC
AABAFI22TMS,BANK OF ALAND PLC
AABASESS,ALANDSBANKEN ABP (FINLAND)
AABSDE31,AACHENER BAUSPARKASSE AKTIENGESELLS
AACBFR21,ALSACIENNE DE CREDIT-BAIL IMMOBILIE
AACCGB21,UBS CLEARING AND EXECUTION SERVICES
AACHDE31,AACHENER GRUNDVERMOEGEN-KAPITALANLA
AACIFRP1,ABN AMRO COMMUNICATIONSERNATION
AACLZAJJ,ANGLO AMERICAN SA FINANCE LIMITED
AACLZAJJCIM,ANGLO AMERICAN SA FINANCE LIMITED
AACMUS41,AAM COMPANY
AACNGB21,ABN AMRO CORPORATE FINANCE LIMITED
AACOUS31,AMBAC ASSURANCE CORPORATION
AACSDE33,SPARKASSE AACHEN
AAEAFRP1,ABC ARBITRAGE ASSET MANAGEMENT
AAEMNL21,ANTHOS ASSET MANAGEMENT B.V.
AAFAFRP1,AAZ FINANCES SA
AAFFFRP1,ABN AMRO FUTURES FRANCE
AAFMGB21,ABN AMRO FUND MANAGERS LIMITED
AAFNFRP1,ABN AMRO FIXED INCOME FRANCE
AAGOCHZ1,UBS CARD CENTER AG
AAGSIT21,ALPE ADRIA GESTIONI SIM
AAHOGB21,ABN AMRO HOARE GOVETT SECURITIES
AAHTHUH1,K AND H EQUITIES TANACSADO ZARTKOER
AAHUAEAD,AHMED AL HUSSAIN MONEY EXCHANGE EST
AAHVGB21,ABN AMRO HOARE GOVETT CORPORATE FIN
AAIAATW1,AIBC ANGLO IRISH BANK (AUSTRIA) KAP
AAILLUL1,ASPECTA ASSURANCEERNATIONAL LUX
AAISALTR,UNITED BANK OF ALBANIA SH.A
AAKRDK22,KREDITBANKEN A/S
AAMBSGS1,ASIAN-AMERICAN MERCHANT BANK LTD.
AAMCUS41,ATTUCKS ASSET MANAGEMENT LLC.
AAMDTRI1,ALI ALPAY MENKUL DEGERLER
AAMGDE2H,TALANX ASSET MANAGEMENT GMBH
AAMISEG1,ABILITY ASSET MANAGEMENT SCANDINAVI
AAMLLUL1,ATAG ASSET MANAGEMENT (LUXEMBOURG) 
AAMMNL21,ANDROPAN ASSET MANAGEMENT B.V.
AAMNAU21,ADVANCE ASSET MANAGEMENT LIMITED
AAMOOMR1,AL AHLIA ASSET MGT CO. (SAOC)
AAMPSKB1,ALLIANZ ASSET MANAGEMENT  SPRAV. SP
AAMRFRP1,ALTIVIE ASSET MANAGEMENT DU GROUPE 
AAMSUS31,ARNOLD AND S. BLEICHROEDER ADVISORS
AAMUCHG1,ALPEN ASSET MANAGEMENT TRUST SARL
AAMVCZ21,ATLANTIK ASSET MANAGEMENT INVESTICN
AANAFRP1,AMUNDI ALTERNATIVE INVESTMENTS SAS
AANCUS31,XARAF MANAGEMENT LLC
AANLGB21,ALKEN ASSET MANAGEMENT
AANSNO21,ACTA ASSET MANAGEMENT ASA
AAOGGB21,ABN AMRO HOARE GOVETT LIMITED
AAPEGB21,AAC CAPITAL PARTNERS LIMITED
AAPUGB21,ABBOTSTONE AGRICULTURAL PROPERTY UN
AAQIGB21,ABN AMRO QUOTED INVESTMENTS (UK) LI
AARADE31,ASSEKURATA ASSEKURANZ RATING AGENTU
AARBBEB1,AAREAL BANK AG
AARBDE5W,AAREAL BANK AG
AARBDE5WDOM,AAREAL BANK AG
AARBESM1,AAREAL BANK AG
