OFF,DESC,SNME
1,name and last name,10660030
2,name and last name,10690030
3,name and last name,10710030
4,name and last name,10740030
5,name and last name,12092020
6,name and last name,12312000
7,name and last name,13320430
8,name and last name,13370440
9,name and last name,13400440
10,name and last name,20520710
11,name and last name,13660460
12,name and last name,13680520
13,name and last name,14200840
14,name and last name,31710060
15,name and last name,14270840
16,name and last name,14330850
17,name and last name,14390830
18,name and last name,14410830
19,name and last name,14550860
20,name and last name,17760130
21,name and last name,14620880
22,name and last name,14670900
23,name and last name,15131080
24,name and last name,15231100
25,name and last name,15691210
26,name and last name,15731200
27,name and last name,15781180
28,name and last name,16280550
29,name and last name,16310550
30,name and last name,16320550
31,name and last name,16400560
32,name and last name,16800660
33,name and last name,17330210
34,name and last name,17340230
35,name and last name,17480090
36,name and last name,17490090
37,name and last name,17510080
38,name and last name,17600080
39,name and last name,17710130
40,name and last name,17720130
41,name and last name,17730130
42,name and last name,17750130
43,name and last name,34830330
44,name and last name,17800100
45,name and last name,17850110
46,name and last name,17960120
47,name and last name,18030150
48,name and last name,18500970
49,name and last name,18870960
50,name and last name,18880960
51,name and last name,18900960
52,name and last name,42681230
53,name and last name,20330700
54,name and last name,20340700
55,name and last name,34450650
56,name and last name,41610940
57,name and last name,20760720
58,name and last name,20800730
59,name and last name,20810730
60,name and last name,20820730
61,name and last name,20900790
62,name and last name,21030780
63,name and last name,21050780
64,name and last name,21070800
65,name and last name,21170970
66,name and last name,22070270
67,name and last name,22140260
68,name and last name,22260280
69,name and last name,22290280
70,name and last name,22510300
71,name and last name,22540310
72,name and last name,22580370
73,name and last name,22590370
74,name and last name,22620380
75,name and last name,22630380
76,name and last name,22640380
77,name and last name,22810250
78,name and last name,22910350
79,name and last name,23010340
80,name and last name,23100400
81,name and last name,23540470
82,name and last name,23820340
83,name and last name,23960860
84,name and last name,24050750
85,name and last name,24991220
86,name and last name,40671110
87,name and last name,25250550
88,name and last name,30230090
89,name and last name,25340460
90,name and last name,25430710
91,name and last name,25480440
92,name and last name,25620430
93,name and last name,26020260
94,name and last name,26660850
95,name and last name,26701010
96,name and last name,26711030
97,name and last name,26890660
98,name and last name,27200250
99,name and last name,27550430
100,name and last name,27600680
101,name and last name,27920040
102,name and last name,28050710
103,name and last name,28160860
104,name and last name,28430880
105,name and last name,29440450
106,name and last name,29530830
107,name and last name,29630280
108,name and last name,29920550
109,name and last name,30200080
110,name and last name,25290560
111,name and last name,40571090
112,name and last name,30630080
113,name and last name,43150340
114,name and last name,30730960
115,name and last name,30790250
116,name and last name,30800100
117,name and last name,32280790
118,name and last name,30930550
119,name and last name,30970120
120,name and last name,31021110
121,name and last name,31040520
122,name and last name,31090280
123,name and last name,31250700
124,name and last name,31311060
125,name and last name,31590450
126,name and last name,14230840
127,name and last name,31720380
128,name and last name,32010100
129,name and last name,32101060
130,name and last name,32150190
131,name and last name,32160340
132,name and last name,30880120
133,name and last name,32330550
134,name and last name,32341200
135,name and last name,32551180
136,name and last name,32690040
137,name and last name,32700710
138,name and last name,32740450
139,name and last name,32821130
140,name and last name,32840900
141,name and last name,32850450
142,name and last name,33070020
143,name and last name,33190910
144,name and last name,33431020
145,name and last name,33500430
146,name and last name,33660630
147,name and last name,33691140
148,name and last name,33720900
149,name and last name,33730830
150,name and last name,33920110
151,name and last name,33990810
152,name and last name,34000030
153,name and last name,34020830
154,name and last name,34060600
155,name and last name,34080750
156,name and last name,34170460
157,name and last name,25040690
158,name and last name,34210090
159,name and last name,34241060
160,name and last name,34281190
161,name and last name,42141020
162,name and last name,34520210
163,name and last name,34640140
164,name and last name,34710470
165,name and last name,34770100
166,name and last name,34820320
167,name and last name,42620170
168,name and last name,34840060
169,name and last name,34870300
170,name and last name,34961220
